label,score
其他美食,392
日式料理,3519
亞洲料理,1333
素食,555
烘焙、點心、零食,2129
小吃,4165
速食料理,583
冰品、飲料、甜湯,2183
咖啡、簡餐、茶,5246
燒烤類,1049
鍋類,2069
主題特色餐廳,1132
異國料理,3659
中式料理,7335
早餐,496
buffet自助餐,78
