label,score
其他美食,707
日式料理,4796
亞洲料理,1889
素食,890
烘焙、點心、零食,3285
小吃,8023
速食料理,974
冰品、飲料、甜湯,3728
咖啡、簡餐、茶,7307
燒烤類,1841
鍋類,3813
主題特色餐廳,1619
異國料理,5198
中式料理,11431
早餐,1148
buffet自助餐,110
